2025-11-13T20:14:31.849 Device 45 | Lap 163 | Lap Time 0:54.180 | CumulativeField 112s | Avg Lap 1:15.875
2025-11-13T20:14:34.699 Device 24 | Lap 164 | Lap Time 0:31.140 | CumulativeField 140s | Avg Lap 2:03.130
2025-11-13T20:14:59.389 Device 36 | Lap 165 | Lap Time 0:35.460 | CumulativeField 46s | Avg Lap 0:35.460
2025-11-13T20:15:05.839 Device 24 | Lap 166 | Lap Time 0:31.140 | CumulativeField 178s | Avg Lap 1:53.931
2025-11-13T20:15:51.440 Device 24 | Lap 167 | Lap Time 0:45.600 | CumulativeField 125s | Avg Lap 1:47.719
2025-11-13T20:15:56.210 Device 36 | Lap 168 | Lap Time 0:56.820 | CumulativeField 90s | Avg Lap 0:46.140
2025-11-13T20:16:35.421 Device 36 | Lap 169 | Lap Time 0:39.210 | CumulativeField 167s | Avg Lap 0:43.830
2025-11-13T20:17:09.982 Device 36 | Lap 170 | Lap Time 0:34.560 | CumulativeField 37s | Avg Lap 0:41.512
2025-11-13T20:17:44.872 Device 36 | Lap 171 | Lap Time 0:34.890 | CumulativeField 195s | Avg Lap 0:40.188
2025-11-13T20:18:18.863 Device 36 | Lap 172 | Lap Time 0:33.990 | CumulativeField 5s | Avg Lap 0:39.155
2025-11-13T20:18:35.123 Device 79 | Lap 173 | Lap Time 5:45.033 | CumulativeField 93s | Avg Lap 1:51.463
2025-11-13T20:18:36.593 Device 38 | Lap 174 | Lap Time — | CumulativeField 242s | Avg Lap —
2025-11-13T20:18:54.533 Device 36 | Lap 175 | Lap Time 0:35.670 | CumulativeField 242s | Avg Lap 0:38.657
2025-11-13T20:19:00.953 Device 7 | Lap 176 | Lap Time 12:16.926 | CumulativeField 113s | Avg Lap 1:50.414
2025-11-13T20:19:05.393 Device 27 | Lap 177 | Lap Time 18:08.410 | CumulativeField 45s | Avg Lap 1:43.866
2025-11-13T20:19:08.063 Device 79 | Lap 178 | Lap Time 0:32.940 | CumulativeField 55s | Avg Lap 1:46.844
2025-11-13T20:19:12.084 Device 38 | Lap 179 | Lap Time 0:35.490 | CumulativeField 202s | Avg Lap 0:35.490
2025-11-13T20:19:31.014 Device 7 | Lap 180 | Lap Time 0:30.060 | CumulativeField 46s | Avg Lap 1:46.920
2025-11-13T20:19:32.454 Device 36 | Lap 181 | Lap Time 0:37.920 | CumulativeField 189s | Avg Lap 0:38.565
2025-11-13T20:19:41.184 Device 79 | Lap 182 | Lap Time 0:33.120 | CumulativeField 38s | Avg Lap 1:42.748
2025-11-13T20:19:42.294 Device 27 | Lap 183 | Lap Time 0:36.900 | CumulativeField 147s | Avg Lap 1:39.927
2025-11-13T20:19:46.404 Device 38 | Lap 184 | Lap Time 0:34.320 | CumulativeField 47s | Avg Lap 0:34.905
2025-11-13T20:19:59.935 Device 7 | Lap 185 | Lap Time 0:28.920 | CumulativeField 118s | Avg Lap 1:43.670
2025-11-13T20:20:07.044 Device 36 | Lap 186 | Lap Time 0:34.590 | CumulativeField 57s | Avg Lap 0:38.123
2025-11-13T20:20:16.974 Device 27 | Lap 187 | Lap Time 0:34.680 | CumulativeField 26s | Avg Lap 1:36.302
2025-11-13T20:20:21.565 Device 38 | Lap 188 | Lap Time 0:35.160 | CumulativeField 230s | Avg Lap 0:34.990
2025-11-13T20:20:28.165 Device 7 | Lap 189 | Lap Time 0:28.229 | CumulativeField 123s | Avg Lap 1:40.652
2025-11-13T20:20:51.535 Device 27 | Lap 190 | Lap Time 0:34.560 | CumulativeField 149s | Avg Lap 1:33.052
2025-11-13T20:20:56.395 Device 7 | Lap 191 | Lap Time 0:28.230 | CumulativeField 126s | Avg Lap 1:37.867
2025-11-13T20:20:58.555 Device 38 | Lap 192 | Lap Time 0:36.990 | CumulativeField 87s | Avg Lap 0:35.490
2025-11-13T20:21:24.026 Device 7 | Lap 193 | Lap Time 0:27.630 | CumulativeField 71s | Avg Lap 1:35.266
2025-11-13T20:21:28.526 Device 27 | Lap 194 | Lap Time 0:36.990 | CumulativeField 9s | Avg Lap 1:30.249
2025-11-13T20:21:33.716 Device 38 | Lap 195 | Lap Time 0:35.160 | CumulativeField 14s | Avg Lap 0:35.424
2025-11-13T20:21:51.866 Device 7 | Lap 196 | Lap Time 0:27.840 | CumulativeField 34s | Avg Lap 1:32.858
2025-11-13T20:22:01.826 Device 27 | Lap 197 | Lap Time 0:33.300 | CumulativeField 8s | Avg Lap 1:27.537
2025-11-13T20:22:08.066 Device 38 | Lap 198 | Lap Time 0:34.350 | CumulativeField 116s | Avg Lap 0:35.245
2025-11-13T20:22:42.927 Device 38 | Lap 199 | Lap Time 0:34.860 | CumulativeField 18s | Avg Lap 0:35.190
